id,Username,Password,Role,CreatedDate,Remarks
1,dave,123456,Admin,"Jul 21, 2010","Assumed role on Dec 31, 2024"
2,Adam,456789,Manager,"Nov 28, 2024",Sales Department 
3,Anna,123789,Staff,"Jul 19, 2023",Sales Department 
4,Sita,147258,Manager,"Sep 30, 2020",Accounting Department
5,Mary,258369,Staff,"Aug 16, 2022",Accounting Department
6,Maestro,123456,Admin,"Apr 17, 2020","Admin Role will expire on Jan 31, 2025"
7,Roselle,abcde,Staff,"Jan 17, 2025",Newly added user
8,Miguel,abcde,Staff,"Jan 17, 2025",Newly added user
9,Andres,abcde,Staff,"Jan 17, 2025",Newly added user
10,Diana,abcde,Staff,"Jan 17, 2025",Newly added user
